words,status
partie,True
histoire,True
chercher,True
seulement,True
police,True
pensais,True
aide,True
demande,True
genre,True
mois,True
frère,True
laisser,True
car,False
mettre,True
aucun,False
laisse,False
eux,True
ville,True
chaque,True
parlé,True
arrivé,True
devrait,True
bébé,True
longtemps,True
heures,True
vont,True
pendant,True
revoir,True
aucune,False
place,True
parle,False
compris,False
savais,False
étaient,False
attention,False
voici,False
pourrais,False
affaire,False
donner,False
type,False
leurs,False
donné,False
train,False
corps,False
endroit,False
yeux,False
façon,False
écoute,False
dont,False
trouve,False
premier,False
perdu,False
main,False
première,False
côté,False
pouvoir,False
vieux,False
sois,False
tiens,False
matin,False
tellement,False
enfant,False
point,False
venu,False
suite,False
pardon,False
venez,False
devant,False
vers,False
minutes,False
demandé,False
chambre,False
mis,False
belle,False
droit,False
aimerais,False
aujourd'hui,False
mari,False
cause,False
enfin,False
espère,False
eau,False
attendez,False
parti,False
nouvelle,False
boulot,False
arrêter,False
dirait,False
terre,False
compte,False
donne,False
loin,False
fin,False
croire,False
chérie,False
gros,False
plutôt,False
aura,False
filles,False
jouer,False
bureau,False
